#time, unixtime, spillnum, POT
2025/11/29/22:47, 1764424069, 6398267, 200008965579329.1
2025/11/29/22:47, 1764424070, 6398268, 200781177509617.2
2025/11/29/22:47, 1764424072, 6398269, 200446437104849.6
2025/11/29/22:47, 1764424073, 6398270, 200396671074732.4
2025/11/29/22:47, 1764424074, 6398271, 200895672917427.3
2025/11/29/22:47, 1764424076, 6398272, 200626319761669.2
2025/11/29/22:47, 1764424077, 6398273, 200340365029767.2
2025/11/29/22:47, 1764424079, 6398274, 200800991045713.9
2025/11/29/22:48, 1764424080, 6398275, 200633814334895.8
2025/11/29/22:48, 1764424081, 6398276, 200299460913254.1
2025/11/29/22:48, 1764424083, 6398277, 200463270870870.7
2025/11/29/22:48, 1764424084, 6398278, 200654440535558.9
2025/11/29/22:48, 1764424085, 6398279, 200509257365782.4
2025/11/29/22:48, 1764424087, 6398280, 200367157161586.6
2025/11/29/22:48, 1764424088, 6398281, 200996675513547.9
2025/11/29/22:48, 1764424089, 6398282, 200716499729675.4
2025/11/29/22:48, 1764424091, 6398283, 200220890439057.8
2025/11/29/22:48, 1764424092, 6398284, 200591155894873.4
2025/11/29/22:48, 1764424093, 6398285, 200451725874250.3
2025/11/29/22:48, 1764424095, 6398286, 200100861172531.9
2025/11/29/22:48, 1764424096, 6398287, 200645630219702
2025/11/29/22:48, 1764424098, 6398288, 200719092516626.2
2025/11/29/22:48, 1764424099, 6398289, 200909488215057.4
2025/11/29/22:48, 1764424100, 6398290, 200494835794587.7
2025/11/29/22:48, 1764424102, 6398291, 200599295439975.1
2025/11/29/22:48, 1764424103, 6398292, 200317907108969.9
2025/11/29/22:48, 1764424104, 6398293, 200907076020233.3
2025/11/29/22:48, 1764424106, 6398294, 200710127407517.7
2025/11/29/22:48, 1764424107, 6398295, 200980667311533.7
2025/11/29/22:48, 1764424108, 6398296, 200315146629333.1
2025/11/29/22:48, 1764424110, 6398297, 200101557742160.7
2025/11/29/22:48, 1764424111, 6398298, 200375361203878
2025/11/29/22:48, 1764424113, 6398299, 200302002102454.4
2025/11/29/22:48, 1764424114, 6398300, 200337901237193.9
2025/11/29/22:48, 1764424115, 6398301, 201052852564137.6
2025/11/29/22:48, 1764424117, 6398302, 201199673962481.4
2025/11/29/22:48, 1764424118, 6398303, 201007433644475.8
2025/11/29/22:48, 1764424119, 6398304, 201301269932729.8
2025/11/29/22:48, 1764424121, 6398305, 201091808865577.2
2025/11/29/22:48, 1764424122, 6398306, 201250433249292.3
2025/11/29/22:48, 1764424123, 6398307, 200930578795473.9
2025/11/29/22:48, 1764424125, 6398308, 200772934769013.3
2025/11/29/22:48, 1764424126, 6398309, 201315627006737.3
2025/11/29/22:48, 1764424127, 6398310, 200317158941590.8
2025/11/29/22:48, 1764424129, 6398311, 200222709259754.7
2025/11/29/22:48, 1764424130, 6398312, 202084872066384.1
2025/11/29/22:48, 1764424132, 6398313, 201122019348352.3
2025/11/29/22:48, 1764424133, 6398314, 201010219922991
2025/11/29/22:48, 1764424134, 6398315, 200707315330130.6
2025/11/29/22:48, 1764424136, 6398316, 201317536123495.9
2025/11/29/22:48, 1764424137, 6398317, 200978358312210.1
2025/11/29/22:48, 1764424138, 6398318, 200856200638485
2025/11/29/22:49, 1764424140, 6398319, 201353641649236.6
2025/11/29/22:49, 1764424141, 6398320, 201335014861396.6
2025/11/29/22:49, 1764424142, 6398321, 200148705186453.8
2025/11/29/22:49, 1764424144, 6398322, 202092095751419.8
2025/11/29/22:49, 1764424145, 6398323, 201063223711936.3
2025/11/29/22:49, 1764424147, 6398324, 200994108525473
2025/11/29/22:49, 1764424148, 6398325, 200567214538755.6
2025/11/29/22:49, 1764424149, 6398326, 200983982466985.6
2025/11/29/22:49, 1764424151, 6398327, 200627493610489.1
2025/11/29/22:49, 1764424152, 6398328, 200871176885494.7
2025/11/29/22:49, 1764424153, 6398329, 201068189995400.2
2025/11/29/22:49, 1764424155, 6398330, 201218004063259.7
2025/11/29/22:49, 1764424156, 6398331, 200660232383024.3
2025/11/29/22:49, 1764424157, 6398332, 201032007073035.4
2025/11/29/22:49, 1764424159, 6398333, 201068035202147.9
2025/11/29/22:49, 1764424160, 6398334, 200460755480545
2025/11/29/22:49, 1764424161, 6398335, 201187961273173.7
2025/11/29/22:49, 1764424163, 6398336, 200779062001856.9
2025/11/29/22:49, 1764424164, 6398337, 200914635090645.8
2025/11/29/22:49, 1764424166, 6398338, 201250742835793.9
2025/11/29/22:49, 1764424167, 6398339, 200886295026318.8
2025/11/29/22:49, 1764424168, 6398340, 200556843390954.2
2025/11/29/22:49, 1764424170, 6398341, 200159089233692.5
2025/11/29/22:49, 1764424171, 6398342, 200511153583104.2
2025/11/29/22:49, 1764424172, 6398343, 201674179773245.4
2025/11/29/22:49, 1764424174, 6398344, 200994585804664.3
